Invoice,TotalQuantity,TotalAmount,UniqueProducts,Customer ID,Anomaly
489434,166,505.3,8,13085,1
489435,60,145.8,4,13085,1
489436,193,630.33,19,13078,1
489437,145,310.75,23,15362,1
489438,826,2286.24,17,18102,1
489439,219,426.3,19,12682,1
489440,16,50.4,2,18087,1
489441,102,344.34000000000003,4,18087,1
489442,275,382.37,23,13635,1
489443,120,285.06,7,14110,1
489444,1,141.0,1,12636,1
489445,280,308.44,19,17519,1
489446,382,996.1,27,13758,1
489447,1,130.0,1,12362,1
489448,192,570.24,4,15413,1
489450,100,196.10000000000002,9,16321,1
489460,977,485.79,15,16167,1
489461,379,589.33,26,17865,1
489462,38,148.3,13,17592,1
489465,408,1197.8000000000002,19,13767,1
489488,80,251.1,29,17238,1
489505,64,255.5,10,15712,1
489514,326,823.02,32,15311,1
489517,138,282.46000000000004,28,16329,1
489519,247,696.73,38,17700,1
489520,293,733.63,30,14911,1
489522,409,700.31,104,15998,1
489523,800,1160.0,1,12931,1
489526,484,929.9200000000001,44,12533,1
489529,212,229.46,45,17984,1
489531,54,145.0,14,14871,1
489532,353,304.53,20,13394,1
489533,67,192.75,19,16011,1
489536,216,367.40999999999997,107,16393,1
489537,250,633.33,58,14040,1
489539,1598,2887.14,17,15061,1
489540,188,537.96,5,12913,1
489542,264,387.6,2,15061,1
489544,226,281.82,14,14341,1
489545,92,124.95,32,17804,1
489546,212,584.5,33,14156,1
489547,595,641.45,22,13599,1
489550,232,482.3,23,14156,1
489552,129,278.61,25,17063,1
489556,176,379.65,56,15719,1
489557,442,603.94,21,12490,1
489558,154,291.58000000000004,4,15793,1
489559,26,128.60000000000002,8,17056,1
489560,1585,859.1,26,13526,1
489561,273,246.86,27,14654,1
489562,107,229.6,39,17998,1
489564,326,322.9,11,13526,1
489566,35,218.55,8,17742,1
489567,150,307.8,20,15326,1
489569,312,282.28,18,14478,1
489571,50,156.71,30,15967,1
489572,273,507.49,83,17611,1
489573,306,580.02,32,15051,1
489574,313,551.33,63,13097,1
489575,300,367.28000000000003,22,13590,1
489576,178,319.66,17,15984,1
489579,177,219.82,34,16887,1
489580,276,261.0,8,12921,1
489581,137,124.83,10,15945,1
489582,125,293.95,9,14543,1
489584,1,21.95,1,18037,1
489585,67,105.85,4,15662,1
489586,98,263.42,6,15380,1
489590,87,362.78000000000003,27,13110,1
489593,95,423.87,29,12836,1
489594,181,322.33,46,15005,1
489598,575,822.37,50,16620,1
489599,1403,2454.68,79,12758,-1
489606,1,2.1,1,17961,1
489611,1,2.95,1,15601,1
489613,1,12.75,1,13585,1
489617,42,198.0,16,13442,1
489634,12,17.4,1,13381,1
489635,173,352.85,21,16763,1
489637,157,535.9,20,17243,1
489639,48,31.200000000000003,1,14865,1
489640,600,329.90999999999997,26,17345,1
489641,462,622.1,30,13819,1
489644,317,896.5400000000001,24,15808,1
489645,97,261.74,32,17191,1
489650,90,173.1,7,13748,1
489652,146,294.14,17,15265,1
489654,115,222.12,30,15750,1
489656,401,1237.3000000000002,22,17428,1
489657,32,55.2,3,17428,1
489658,249,828.09,21,15485,1
489661,34,23.48,4,17246,1
489662,25,73.75,1,15485,1
489664,57,374.43,11,14061,1
489665,118,252.3,10,14108,1
489666,203,263.09000000000003,15,13648,1
489667,221,538.46,10,16563,1
489668,198,378.12,8,16701,1
489669,168,397.20000000000005,3,12842,1
489670,28,114.60000000000001,2,14302,1
489671,966,740.3,8,14135,1
489672,421,772.65,32,14831,1
489673,34,61.1,4,14831,1
489674,266,261.3,17,15602,1
489675,1930,4939.22,22,13777,-1
489676,840,1210.8,5,13777,1
489677,48,192.0,2,14000,1
489678,113,189.3,20,16823,1
489679,280,795.98,42,16163,1
489680,36,45.0,1,17193,1
489681,183,89.59,11,17998,1
489682,303,125.73,4,15759,1
489683,721,1317.97,46,16131,1
489684,116,266.59999999999997,9,14560,1
489687,113,221.53,12,17087,1
489688,54,299.70000000000005,3,14894,1
489695,121,306.95,15,16202,1
489699,238,401.7,25,16700,1
489702,2020,3108.64,30,17511,-1
489705,4,17.0,1,16700,1
489723,1339,2052.12,26,14299,1
489725,300,216.0,1,17949,1
489726,200,750.0,1,17949,1
489727,450,900.0,1,17949,1
489728,349,180.45000000000002,10,14799,1
489733,48,168.0,2,15311,1
489743,320,538.77,33,16550,1
489748,84,754.2,3,12980,1
489764,82,223.1,14,14425,1
489765,91,285.59000000000003,38,15353,1
489766,90,130.18,42,17818,1
489780,90,159.98000000000002,8,13654,1
489782,148,230.46,21,17189,1
489783,152,162.04,7,13269,1
489784,48,40.8,4,13269,1
489785,250,333.67,19,14653,1
489786,199,216.85999999999999,39,17019,1
489787,127,319.54,63,15542,1
489788,38,119.16,17,13564,1
489789,24,80.4,5,15833,1
489790,88,131.12,2,16467,1
489791,90,221.19,62,15542,1
489792,165,923.79,58,14527,1
489793,124,260.36,16,17476,1
489794,55,58.2,4,15287,1
489795,287,935.01,13,14440,1
489796,268,311.5,19,15680,1
489797,142,200.63,25,15581,1
489798,97,311.69,19,13740,1
489800,532,408.07,31,17768,1
489801,144,128.48,6,12948,1
489802,156,174.52,44,15581,1
489804,185,251.17,15,14667,1
489805,227,454.35,46,17377,1
489807,241,180.13,27,15581,1
489808,82,109.84,17,14467,1
489809,68,112.5,6,13457,1
489810,165,493.25,26,18108,1
489811,515,634.29,9,16210,1
489812,85,597.6899999999999,25,17377,1
489814,506,824.1800000000001,84,14669,1
489815,41,132.55,8,17909,1
489816,258,284.55,27,16086,1
489817,132,340.2,3,16711,1
489818,102,294.3,14,16233,1
489819,465,618.4300000000001,13,14739,1
489822,103,371.27000000000004,54,14204,1
489823,42,87.30000000000001,6,17606,1
489824,127,176.88,44,16797,1
489825,94,174.1,10,16126,1
489826,17,85.95,10,17867,1
489827,382,445.7,23,17412,1
489829,237,472.47,8,16525,1
489830,242,637.04,62,13623,1
489831,480,1008.0,1,12435,1
489832,122,316.22,54,14549,1
489833,79,150.68,24,14980,1
489834,24,214.8,1,14106,1
489835,280,714.0,2,15061,1
489837,274,514.97,43,14396,1
489840,6,89.69999999999999,1,14122,1
489855,56,157.91,28,16987,1
489862,150,734.7,4,17809,1
489863,21,66.82,18,15917,1
489864,79,206.85,3,14987,1
489865,53,234.87,18,14080,1
489866,587,1003.83,109,16200,1
489868,248,675.0,14,15794,1
489869,27,39.980000000000004,17,16200,1
489870,118,162.1,3,15523,1
489871,274,735.7,5,15523,1
489872,320,632.9,22,15615,1
489873,12,10.2,1,15615,1
489874,144,176.6,12,18001,1
489875,219,530.76,92,17841,1
489876,22,39.85,18,15917,1
489877,162,368.1,4,13089,1
489878,56,143.11,36,15989,1
489879,138,163.47,42,17660,1
489880,552,380.28,22,13313,1
489883,263,578.28,27,12437,1
489884,19,3.61,1,13313,1
489888,660,597.4,26,14841,1
489889,3200,4734.24,20,14646,-1
489890,592,976.8,3,14646,1
489891,144,181.08,6,15482,1
489893,98,300.1,9,16156,1
489894,396,520.2,27,17716,1
489895,266,371.82,22,12779,1
489896,227,337.93,20,13611,1
489897,176,260.44,13,15255,1
489900,253,287.37,19,14771,1
489902,18,119.10000000000001,4,14838,1
489904,150,203.78,13,13979,1
489905,242,478.7,19,13800,1
489906,96,120.0,4,14483,1
489907,104,202.06,11,14915,1
489908,41,107.33,6,16301,1
489909,428,642.2,16,13753,1
489910,288,144.0,1,15482,1
489912,578,1146.1000000000001,58,13931,1
489913,16,69.6,3,13931,1
489914,508,993.0,29,12921,1
489915,36,54.6,2,17035,1
489916,212,336.0,9,15194,1
489932,48,82.60000000000001,6,14347,1
489935,31,181.65,2,12934,1
489994,142,430.9,4,15291,1
489996,514,320.40000000000003,5,17209,1
489998,93,321.65000000000003,17,15658,1
489999,72,154.2,7,17314,1
490000,89,143.06,12,17155,1
490001,94,169.5,2,15965,1
490002,115,114.55,28,17322,1
490003,163,317.55,12,16159,1
490004,224,912.5600000000001,9,14051,1
490005,203,556.75,25,13993,1
490006,150,344.40000000000003,19,17411,1
490008,257,503.93,63,15768,1
490009,100,285.09,29,12835,1
490010,480,1008.0,1,15061,1
490011,138,221.69,43,16918,1
490012,339,763.35,27,15179,1
490013,395,500.55,33,17069,1
490014,407,744.21,91,15466,1
490017,267,393.65,97,14159,1
490018,17520,4380.0,4,17940,-1
490019,116,308.6,15,17581,1
490020,14,37.8,3,17581,1
490021,12,10.2,1,17581,1
490022,24,45.60000000000001,3,17581,1
490023,49,189.15,4,16168,1
490024,121,215.0,48,14606,1
490034,30,69.82,11,17287,1
490045,109,180.39,22,17287,1
490046,66,228.3,7,13416,1
490047,131,263.85,27,17913,1
490048,681,1146.71,34,16779,1
490049,40,102.0,1,15794,1
490050,2,13.5,1,17913,1
490052,408,831.0,42,13895,1
490053,101,119.53999999999999,17,14057,1
490054,186,277.5,7,17017,1
490056,56,61.12,16,13208,1
490057,184,360.52000000000004,20,17465,1
490058,27,47.85,2,17465,1
490059,4825,14475.0,9,18102,-1
490060,148,314.22,17,13468,1
490061,2000,4000.0,4,18102,-1
490062,86,165.3,8,13485,1
490063,117,210.39,46,17271,1
490064,215,355.59000000000003,19,16139,1
490065,600,1260.0,1,15061,1
490066,212,372.20000000000005,7,15953,1
490067,412,952.61,24,15856,1
490068,90,284.3,9,13085,1
490069,60,161.4,5,13085,1
490070,68,236.25,5,14967,1
490071,111,294.85,19,16497,1
490072,71,194.65,29,17764,1
490073,172,258.1,13,14905,1
490075,84,381.0,4,18229,1
490077,65,115.50999999999999,6,17293,1
490078,159,584.35,28,17853,1
490079,85,160.35,10,15550,1
490080,126,311.7,15,13531,1
490081,323,723.09,20,13786,1
490082,262,337.9,7,14952,1
490083,1132,2506.14,61,14031,1
490085,108,170.06,15,12937,1
490086,432,799.2,1,17949,1
490087,668,898.1800000000001,51,15601,1
490088,2,17.0,2,15581,1
490089,252,466.2000000000001,1,17949,1
490090,25,45.55,15,15581,1
490091,600,636.0,1,17949,1
490092,297,510.87,23,16612,1
490093,896,1794.7,64,12949,1
490094,504,851.76,1,17949,1
490095,54,186.36,12,14958,1
490097,146,279.42,35,17329,1
490099,526,1225.98,74,16736,1
490100,403,869.9300000000001,83,13001,1
490101,150,338.5,11,14644,1
490106,275,314.37,20,14898,1
490107,30,110.69999999999999,8,14662,1
490108,444,239.68,5,17414,1
490109,204,415.0,20,14755,1
490110,13,30.15,2,14755,1
490111,221,321.21000000000004,29,17576,1
490112,161,313.19,20,13037,1
490113,16,39.2,11,14710,1
490114,160,257.62,21,18168,1
490115,316,342.6,12,17679,1
490116,48,122.4,4,17679,1
490118,151,317.04,46,17851,1
490119,75,108.75,1,12931,1
490121,65,112.03,32,14750,1
490124,107,319.87,43,16791,1
490125,109,297.05,9,16558,1
490127,203,569.1800000000001,33,14156,1
490128,156,241.8,13,15884,1
490132,89,197.3,12,17343,1
490134,59,151.65,25,17372,1
490135,127,387.87,18,16003,1
490136,71,174.85,39,17432,1
490137,104,160.69,21,14713,1
490138,198,339.78,14,16722,1
490139,79,210.55,13,12577,1
490140,227,407.22,42,12872,1
490141,158,308.75,18,15755,1
490142,356,1261.0,14,14258,1
490143,1687,1610.52,76,14286,-1
490144,152,337.1,18,13154,1
490145,439,989.1800000000001,39,14564,1
490147,472,510.64,8,13408,1
490151,117,160.39,14,16645,1
490152,238,682.65,29,12714,1
490154,111,290.48,46,16335,1
490156,262,455.36,6,13093,1
490157,40,138.0,1,16736,1
490158,281,508.26,22,12759,1
490159,2,19.5,2,13666,1
490160,96,244.8,1,13777,1
490161,653,825.94,59,17160,1
490162,206,280.2,26,13946,1
490163,115,141.63,17,14723,1
490164,632,1058.4,41,14961,1
490166,175,371.85,12,14735,1
490167,241,312.21,8,18061,1
490171,32,29.28,5,15581,1
490202,188,410.0,20,15078,1
490209,484,908.0400000000001,5,17389,1
490212,41,108.95,12,16883,1
490214,201,319.15,20,13175,1
490218,48,67.67999999999999,3,17076,1
490219,63,155.65,7,13948,1
490229,713,1185.16,34,18223,1
490247,208,351.3,11,16192,1
490258,24,20.4,1,15999,1
490266,50,231.2,8,15109,1
490272,273,521.38,56,14680,1
490277,600,1077.6000000000001,10,18092,1
490279,164,317.83,71,16891,1
490281,148,311.2,16,13481,1
490282,43,107.95,7,13807,1
490284,213,439.46000000000004,42,14979,1
490285,210,373.74,7,16656,1
490286,147,762.1,53,14527,1
490287,218,367.1,14,16746,1
490288,112,332.16,3,17157,1
490289,143,273.75,20,15309,1
490290,85,164.03,10,16325,1
490291,173,424.03,38,16541,1
490292,157,460.55,50,16723,1
490293,130,137.4,14,16699,1
490294,298,378.96,61,16710,1
490295,504,435.88,17,12510,1
490297,328,694.2,14,13162,1
490298,954,1523.2,40,15382,1
490299,193,621.22,43,13680,1
490300,189,260.64,70,12970,1
490301,93,345.27,9,15311,1
490302,128,303.62,65,17841,1
490303,55,106.25,7,17935,1
490304,339,843.01,46,17593,1
490305,289,726.57,31,17243,1
490308,85,194.53,16,12835,1
490310,42,231.90000000000003,4,17151,1
490311,201,307.65000000000003,22,16451,1
490312,352,326.13,61,17961,1
490313,49,137.95000000000002,6,17127,1
490320,1327,867.89,9,13694,1
490323,201,236.69,64,14087,1
490324,320,672.0,2,13694,1
490326,62,149.1,10,13733,1
490327,600,990.0,2,13694,1
490331,115,298.99,58,18181,1
490340,363,630.39,47,13174,1
490341,270,334.65,19,13329,1
490342,96,130.8,4,17421,1
490346,156,216.6,16,16351,1
490347,68,109.4,8,15684,1
490349,9,32.25,3,17884,1
490353,445,532.28,36,15514,1
490355,287,538.1099999999999,4,13093,1
490356,103,117.13000000000001,9,17884,1
490359,10,59.5,1,18225,1
490360,34,126.8,21,13679,1
490362,203,220.9,32,12748,1
490363,192,138.24,1,13199,1
490364,25,103.95,6,13487,1
490365,120,351.6,5,17018,1
490366,147,227.25,14,18071,1
490367,8,79.6,2,16593,1
490368,18,159.1,2,14238,1
490369,44,230.2,4,15223,1
490370,177,452.95,26,17593,1
490371,185,233.71,14,13021,1
490372,95,434.15,15,17115,1
490373,146,502.54,18,17850,1
490374,65,136.75,9,14239,1
490375,185,350.55,20,13999,1
490376,389,796.55,24,13958,1
490377,12,15.0,1,13958,1
490378,134,224.1,15,13641,1
490380,142,478.74,18,17850,1
490381,141,97.11,7,15420,1
490382,397,760.69,32,12359,1
490383,50,148.3,4,12820,1
490385,348,130.32,5,16410,1
490386,473,549.77,33,15240,1
490387,130,450.84000000000003,18,17850,1
490388,84,146.62,9,16158,1
490389,611,689.5,33,15484,1
490390,104,256.2,8,14709,1
490391,100,304.1,11,15057,1
490392,56,203.32,9,14867,1
490393,281,281.02,19,17642,1
490394,260,870.2800000000001,18,17850,1
490395,167,283.15,13,13813,1
490396,77,269.15,15,13589,1
490397,142,309.1,18,12417,1
490398,236,567.71,29,17920,1
490399,115,441.63,23,12975,1
490400,183,689.9,49,16104,1
490401,49,139.25,13,17150,1
490403,150,316.74,69,17920,1
490404,33,188.69,23,16277,1
490405,57,260.65,21,17244,1
490408,128,413.44000000000005,15,17850,1
490430,83,253.55,13,15260,1
490458,388,817.4399999999999,23,12583,1
490459,416,950.69,51,15555,1
490461,381,720.79,114,13736,1
490463,50,305.5,8,14133,1
490464,43,118.25999999999999,16,15571,1
490465,478,933.35,66,13448,1
490466,79,183.6,21,17085,1
490467,169,280.94,44,15059,1
490468,164,204.24,12,14468,1
490470,166,242.96,48,16395,1
490471,71,212.13,29,15878,1
490472,340,619.24,29,16485,1
490473,185,204.65,25,15860,1
490474,336,748.42,35,13373,1
490476,98,211.62,3,14608,1
490477,158,533.14,18,17850,1
490478,129,302.5,41,14896,1
490479,778,1450.2,35,16779,1
490481,5,21.25,2,16964,1
490482,147,289.3,25,15983,1
490483,28,132.4,10,13782,1
490484,44,186.6,4,16964,1
490485,63,125.94,17,14454,1
490486,72,90.0,1,16779,1
490487,32,81.3,11,14717,1
490488,503,647.82,32,16718,1
490489,87,266.19,24,15751,1
490490,313,547.73,85,14546,1
490491,85,175.20000000000002,6,17848,1
490493,3,12.75,1,15751,1
490494,85,192.26999999999998,51,17561,1
490496,336,671.56,50,15547,1
490499,356,406.7,21,17406,1
490500,188,355.13,30,14479,1
490501,424,285.64,31,16710,1
490502,26,101.4,19,17969,1
490503,241,582.12,37,14548,1
490504,95,391.92,24,15311,1
490505,34,98.16,15,14548,1
490506,47,25.46,11,17916,1
490508,130,450.84000000000003,18,17850,1
490511,208,626.6,18,13319,1
490512,85,235.13,49,14606,1
490514,47,137.75,23,16773,1
490515,38,147.4,9,15479,1
490516,146,504.54,18,17850,1
490518,290,474.32000000000005,15,15822,1
490519,89,213.65,13,13890,1
490521,102,235.84,15,13211,1
490522,56,150.4,8,15641,1
490524,234,436.18,24,14123,1
490525,92,255.00000000000003,11,13019,1
490526,315,533.97,28,17858,1
490527,105,182.01,10,14940,1
490528,51,118.25,24,16686,1
490529,28,48.89,14,16686,1
490530,56,161.8,5,15691,1
490531,95,166.95,15,16436,1
490533,235,378.05,41,17610,1
490534,127,263.68,39,17530,1
490535,182,560.58,18,17850,1
490536,78,221.9,10,13491,1
490537,149,209.41,16,14003,1
490538,146,504.54,18,17850,1
490539,188,346.0,13,12839,1
490542,120,716.35,20,14911,1
490545,4,34.0,1,17557,1
490547,88,311.2,12,14738,1
490548,146,504.54,18,17850,1
490557,318,463.0,21,16124,1
490561,14,41.3,1,15260,1
490563,372,808.12,28,12471,1
490564,132,367.9,11,12471,1
490569,122,411.20000000000005,9,17739,1
490577,112,187.19,14,16556,1
490603,148,287.49,34,14695,1
490604,612,682.4,8,14828,1
490605,88,191.74,14,15115,1
490606,98,426.0,15,17850,1
490607,71,173.55,10,13693,1
490608,74,163.77,30,14955,1
490609,166,218.33,46,14037,1
490610,150,211.62,15,18077,1
490611,135,312.65,12,13905,1
490612,441,610.95,41,17508,1
490613,96,224.98000000000002,17,16768,1
490616,128,214.79999999999998,6,13984,1
490618,22,44.7,2,13984,1
490625,108,362.6,5,14543,1
490636,164,425.09000000000003,42,13564,1
490637,236,452.16,11,13495,1
490638,58,147.1,4,13190,1
490640,156,321.00000000000006,8,14408,1
490641,60,51.0,2,17707,1
490642,315,446.4,24,15358,1
490653,396,990.48,11,17044,1
490657,119,208.82999999999998,27,14471,1
490659,112,380.84000000000003,16,17850,1
490665,30,76.5,3,17436,1
490667,121,238.85,45,13234,1
490668,199,312.33000000000004,6,16525,1
490669,68,214.17000000000002,27,15716,1
490670,63,143.70000000000002,11,14574,1
490671,144,488.16,1,16684,1
490672,504,660.96,2,16684,1
490673,62,156.5,7,14540,1
490674,106,242.1,14,14307,1
490675,218,696.5400000000001,15,14695,1
490676,122,451.44000000000005,17,17850,1
