Customer ID,Recency,Frequency,Monetary,Cluster,Segment,AvgOrderValue,Churned,CLV
12346,326,12,77556.46,1,Regular,6463.038333333334,1,152518.1906590833
12347,2,8,5633.32,1,Regular,704.165,0,11078.171615925057
12348,75,5,2019.4,1,Regular,403.88,0,3971.238942790231
12349,19,4,4428.6900000000005,1,Regular,1107.1725000000001,0,8709.213723653396
12350,310,1,334.40000000000003,0,At Risk,334.40000000000003,1,657.6123118099699
12351,375,1,300.93,0,At Risk,300.93,1,591.7920843091335
12352,36,10,2849.84,1,Regular,284.98400000000004,0,5604.335737704918
12353,204,2,406.76,1,Regular,203.38,1,799.9114352626297
12354,232,1,1079.4,1,Regular,1079.4,1,2122.6875878220144
12355,214,2,947.61,1,Regular,473.805,1,1863.5167547674807
12356,23,6,6373.68,1,Regular,1062.28,0,12534.12212780194
12357,33,3,18287.66,1,Regular,6095.886666666666,0,35963.48794914687
12358,2,5,3887.07,1,Regular,777.414,0,7644.094165272666
12359,58,10,8935.94,1,Regular,893.594,0,17572.919143526262
12360,52,8,4252.89,1,Regular,531.61125,0,8363.495289394446
12361,287,4,511.25,0,At Risk,127.8125,1,1005.3956172632987
12362,3,11,5356.2300000000005,1,Regular,486.93000000000006,0,10533.261940448312
12363,110,2,552.0,1,Regular,276.0,1,1085.5322850451655
12364,8,4,1313.1,1,Regular,328.275,0,2582.268919371027
12365,291,2,641.38,0,At Risk,320.69,1,1261.301987286718
12366,634,1,500.24,0,At Risk,500.24,1,983.7439678822349
12367,4,1,168.9,1,Regular,168.9,0,332.1492806958849
12368,628,1,917.7,0,At Risk,917.7,1,1804.6974238875878
12369,413,3,1791.15,0,At Risk,597.0500000000001,1,3522.375276012044
12370,51,7,4320.31,1,Regular,617.1871428571429,0,8496.07968551355
12371,45,5,4067.38,1,Regular,813.476,0,7998.681712947474
12372,72,3,1298.04,1,Regular,432.68,0,2552.652766811643
12373,311,3,1127.65,0,At Risk,375.8833333333334,1,2217.573335563734
