Description,6 RIBBONS RUSTIC CHARM,60 CAKE CASES VINTAGE CHRISTMAS,60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,AGED GLASS SILVER T-LIGHT HOLDER,ANTIQUE SILVER TEA GLASS ETCHED,ASSORTED COLOUR BIRD ORNAMENT,ASSORTED COLOURS SILK FAN,"ASSORTED FLOWER COLOUR ""LEIS""",ASSTD DESIGN BUBBLE GUM RING,BAG 250g SWIRLY MARBLES,BLACK AND WHITE PAISLEY FLOWER MUG,BLACK RECORD COVER FRAME,BOX OF 24 COCKTAIL PARASOLS,BOYS ALPHABET IRON ON PATCHES,BROCADE RING PURSE ,COLOUR GLASS T-LIGHT HOLDER HANGING,COOK WITH WINE METAL SIGN ,CREAM HEART CARD HOLDER,DISCO BALL CHRISTMAS DECORATION,DOLLY GIRL LUNCH BOX,FANCY FONTS BIRTHDAY WRAP,GIN + TONIC DIET METAL SIGN,GIRLS ALPHABET IRON ON PATCHES ,GRAND CHOCOLATECANDLE,GROW A FLYTRAP OR SUNFLOWER IN TIN,HAND OVER THE CHOCOLATE   SIGN ,HANGING HEART JAR T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,HANGING JAM JAR T-LIGHT HOLDER,HEART FILIGREE DOVE  SMALL,HEART OF WICKER LARGE,HEART OF WICKER SMALL,JAM MAKING SET PRINTED,JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG OWLS,JUMBO BAG PINK POLKADOT,JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,JUMBO BAG SPACEBOY DESIGN,JUMBO BAG STRAWBERRY,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,LUNCH BAG RED SPOTTY,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG WOODLAND,LUNCH BOX I LOVE LONDON,MEDIUM CERAMIC TOP STORAGE JAR,MINI PAINT SET VINTAGE ,MULTI COLOUR SILVER T-LIGHT HOLDER,PACK OF 12 HEARTS DESIGN TISSUES ,PACK OF 12 LONDON TISSUES ,PACK OF 12 PINK PAISLEY TISSUES ,PACK OF 12 RED SPOTTY TISSUES ,PACK OF 12 SUKI TISSUES ,PACK OF 12 TRADITIONAL CRAYONS,PACK OF 12 WOODLAND TISSUES ,PACK OF 6 BIRDY GIFT TAGS,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,PACK OF 72 RETRO SPOT CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,"PAPER CRAFT , LITTLE BIRDIE",PARTY BUNTING,PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,PLACE SETTING WHITE HEART,PLEASE ONE PERSON METAL SIGN,POPCORN HOLDER,RABBIT NIGHT LIGHT,RED  HARMONICA IN BOX ,RED HANGING HEART T-LIGHT HOLDER,RED TOADSTOOL LED NIGHT LIGHT,REGENCY CAKESTAND 3 TIER,ROTATING SILVER ANGELS T-LIGHT HLDR,SET/6 FRUIT SALAD PAPER CUPS,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,SINGLE HEART ZINC T-LIGHT HOLDER,SMALL CHINESE STYLE SCISSOR,SMALL POPCORN HOLDER,SPACEBOY BIRTHDAY CARD,SPACEBOY LUNCH BOX ,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,VICTORIAN GLASS HANGING T-LIGHT,VINTAGE HEADS AND TAILS CARD GAME ,VINTAGE SNAP CARDS,WHITE HANGING HEART T-LIGHT HOLDER,WOODLAND CHARLOTTE BAG,WORLD WAR 2 GLIDERS ASSTD DESIGNS,WRAP PINK FAIRY CAKES ,ZINC METAL HEART DECORATION
6 RIBBONS RUSTIC CHARM,0.9999999999999999,0.24982086670466,0.17852150916970003,0.1397748355412441,0.023111297743409833,0.05495073873448394,0.1561447482824889,0.14567563445755832,0.05543411907651515,0.028521887243645096,0.01682526886115492,1.4155906834156247e-05,0.004792939654942414,0.13886702850446095,0.012723937782750556,0.001899442867458811,0.27182957994212525,0.18395410565207626,0.009307243938373755,0.25660189981418124,0.5773576071771902,0.20849260675971168,0.039652306308957365,0.010150284064805646,0.02735716043040833,0.008369473386357452,0.0691129688368549,0.21767260621824444,0.5494648147031862,0.091074327102653,0.5498185521742992,0.04776614486573008,0.0646705519348072,0.3407325985586061,0.057344845973707544,0.11218247725794078,0.16510289422264227,0.31738780913288767,0.2978618704898189,0.31907631738668796,0.15077449571895138,0.3569733941095278,0.20361625227219166,0.26834737691697785,0.28342079376314355,0.4690885766624119,0.37292244826312854,0.5841090101270727,0.4168627863462819,0.17635462677245978,0.0029532122376363986,0.2632071888143702,0.02733423691690527,0.048957230526564664,0.022286722293409066,0.029082716443488605,0.0062686095607514996,0.03403182888683355,0.4292231145718193,0.01423598145005962,0.37801440991255153,0.16777913833595307,0.20757639247462886,0.4308810988461881,0.28869342072927984,0.45121196557623533,0.11520308914464476,0.19565462295729402,0.2630521308995136,0.0,0.238578774282598,0.12050207404681061,0.19081404068845711,0.1523447710245186,0.07830276738099849,0.042306925380058445,0.4667199285127301,0.0324616648666472,0.04458882428634919,0.5048638614564703,0.27865365143397985,0.0072448176549108605,0.022691674469128988,0.2174104388260225,0.21981801069469842,0.5170909388102513,0.0003449419974926705,0.07115444329366799,0.6518182152118683,0.6082206030634268,0.0984403286352309,0.04248814179907936,0.08722946415029065,0.06964518767242567,0.08361545275272186,0.33422014415475265,0.5718025147518411,0.032741119369067546,0.15971462274954148,0.5369579880959363
60 CAKE CASES VINTAGE CHRISTMAS,0.24982086670466,1.0000000000000002,0.26297416252149325,0.22542169531883693,0.0062412389703985814,0.20153925180818633,0.12458770488105549,0.07290635679821698,0.03532335754791883,0.06639807060897114,0.062464356221623246,0.0032093607441387585,0.006339582280973294,0.23968038742211636,0.029425592542438393,0.0007200071745937505,0.0982129130622459,0.08873083765700833,0.00822071598502521,0.07693997756523599,0.20818635109694192,0.13785529376653197,0.05069391797585334,0.01903671378129766,0.03247271241315796,0.020200922317945194,0.06799213806372006,0.18922345377007257,0.21912018853330298,0.2380948175757956,0.17060365464016272,0.013004361289022385,0.037275147409874296,0.3178943483001778,0.0512791336599228,0.05139091210267017,0.060035785446444744,0.09628149820459563,0.09973898578120306,0.09834937337157687,0.057613904646691416,0.15211974600187664,0.08202548496724393,0.10351337925268257,0.11819279279548288,0.17137359642353753,0.23056043835282597,0.21247480755830522,0.1310805234290851,0.14703669178562928,0.0016749213071619194,0.31773976589956915,0.039234970190699416,0.046335716838460904,0.009652917017573717,0.014757028281370982,0.026087908465529358,0.011247013858107908,0.3419570036145181,0.011233178273324094,0.2696219648547125,0.16838370728657462,0.19658702702509379,0.39084297866678247,0.3312546008406144,0.31784823199613327,0.18260121137455118,0.32501262560078603,0.6140491670365293,0.0,0.14615769163734446,0.14331722841444733,0.06345029100716135,0.09462664843750947,0.14614987764676451,0.3275142059873837,0.15242535536769558,0.09950917532052814,0.09827063237277817,0.17247191777427914,0.4593504237318391,0.05893672812199861,0.014623506433250928,0.07943516403107355,0.07729729912789127,0.15497863171690324,0.0007511417156886522,0.28600261287277334,0.1824756289488843,0.2177454903106112,0.07159655304821443,0.054200758334607906,0.0400482040746581,0.10370812245871029,0.21757811507539485,0.16419366036318203,0.21789347083562993,0.07515778277219609,0.22457209274175483,0.16044696519855126
60 TEATIME FAIRY CAKE CASES,0.17852150916970003,0.26297416252149325,1.0,0.9312857048090333,0.013179666724723153,0.0185602594051701,0.03961464614051658,0.04587803671516219,0.12070254754385641,0.051486702974564244,0.014730710305821135,2.6049338412316344e-06,0.0013398873796151712,0.14447167293323215,0.00909652659634547,0.01789729735808333,0.17084998154235664,0.30595513496877275,0.006972573560476898,0.03862968006026214,0.20938442789611983,0.015153167942401203,0.028327735185153063,0.006137029988784101,0.017489385033904903,0.008534777952568616,0.07325028101810034,0.29431838870321403,0.175713618934881,0.22936205170975063,0.17094718402448456,0.009661239794511594,0.0201649536882777,0.3395849339497257,0.07498335399805338,0.06520523645959496,0.06786718062306385,0.13110562233466969,0.11143929484355534,0.10214650561205174,0.08360169210323808,0.19910749028843458,0.1275488806952699,0.15103459393539892,0.2634569022804016,0.27365247891667477,0.36384106320409354,0.20160253380220633,0.19377046760898886,0.022352501058853242,0.0027317765184624934,0.24026637974360499,0.030851328772133955,0.04816567149128423,0.006742710369388021,0.026295925966747322,0.019492564094249827,0.008146400939635161,0.40979084408001265,0.007884444654581756,0.10237364489852525,0.942792021709888,0.6897742224227321,0.4936775168444883,0.8148076090802902,0.762421255791694,0.7902789087402728,0.05830433160689748,0.09838324404423712,0.0,0.1906445285748208,0.07899344479914092,0.07303543561006647,0.11851128990487438,0.3084304621363633,0.0388340132370182,0.13960391286452492,0.03844738961669225,0.07026771345376173,0.1543066091221144,0.13959407477254326,0.004434787174483935,0.005511635421289172,0.08447877744755546,0.08921162920037927,0.16554530275624976,0.0003403806563983829,0.07551743816050355,0.1742771383767446,0.19394758888698574,0.12868840614124866,0.13928143483241562,0.01585395286236068,0.08525814838982351,0.18630525394934838,0.13750359014171848,0.1773714897337521,0.04424971882298352,0.02098073680931024,0.1661438174101736
72 SWEETHEART FAIRY CAKE CASES,0.1397748355412441,0.22542169531883693,0.9312857048090333,1.0000000000000002,0.013972720697684071,0.014311679982582391,0.030167973451074186,0.02829894224101772,0.10514010087574846,0.04588349597408391,0.013450900892728395,1.3403250991807255e-06,0.0013669937102314881,0.12096455162937476,0.0061003414089969505,0.01843781960339901,0.14146015159882028,0.25343363029836086,0.006298844422146985,0.005863590249580926,0.20026172700097972,0.0091537957647147,0.014508808079081913,0.005765760444566437,0.011733828756272961,0.00493711231048171,0.04650018742757538,0.25249178627837227,0.15002158453660383,0.19535038526270218,0.1594441097240996,0.008132707440129134,0.017091165533936286,0.2406533580940616,0.06292660755851352,0.06268705282700916,0.05493037511802841,0.11296325360265472,0.08467294444510558,0.08934146995767724,0.0641653741908191,0.16093093329337815,0.07132833242617825,0.09693157029459841,0.22218708562000702,0.22412412769128268,0.33869468108511047,0.18063869722317755,0.17892950769433086,0.01754234810774554,0.0022680030719327265,0.16353239766313893,0.022497344197730716,0.047175423485330735,0.005693311374228286,0.020828298331155997,0.02213666274195797,0.0063598758875921015,0.3259794079878769,0.005375041605163966,0.07168062872721251,0.9548888971358838,0.6712320715790442,0.33420670052025825,0.8142210321711923,0.7856625728825866,0.863814507933605,0.04462482170561584,0.08784541499576984,0.0,0.1611035783392628,0.03475452215426574,0.05291593995779802,0.09970264424084152,0.26567101961786543,0.027292807578744038,0.13244266714070072,0.03357322979699568,0.05382226485266498,0.15043980253739064,0.10780426929411337,0.0037216494785741704,0.005825008152032803,0.06479668147832825,0.0712888709751888,0.15616239355268902,0.0004223235219284055,0.05717142418626902,0.1618682476163454,0.18505777348959188,0.08093641259206073,0.07307303634099688,0.01610977907837358,0.060857874755028,0.1434570272453527,0.1089103225458391,0.1695093457237639,0.019447748408885274,0.012487602414011586,0.15796278217562398
AGED GLASS SILVER T-LIGHT HOLDER,0.023111297743409833,0.0062412389703985814,0.013179666724723153,0.013972720697684071,0.9999999999999999,0.13348228660545164,0.017826863695797005,0.006399157033842636,0.009462916996694415,0.021630864381879708,0.0015325242685267772,1.2294243072293363e-05,0.004241208303641718,0.014469846960782306,0.007421974264093259,0.13775905875501634,0.07353336387972392,0.013223136950003454,0.005340801666407828,0.039342694212874,0.005973629900910039,0.009864301699662674,0.021385728582545595,0.009765303217767803,0.00910588655083989,0.004912545553573673,0.013446635703715652,0.057508922720817215,0.07134383115491787,0.0138784717694511,0.033166793906026594,0.00711971945831728,0.017562865976408566,0.00868558011787406,0.004965655322007912,0.002282590053795188,0.006680158661393209,0.006683644659604283,0.018122462541046828,0.0045726636309284,0.020409537131129835,0.011485515018575754,0.014183487845426272,0.01371342613986741,0.008156950697254767,0.012052600221523938,0.013488015327913574,0.013947533818079973,0.007653956527239602,0.001564271294836418,7.780993175622063e-05,0.030691611664381467,0.02298276529102188,0.007676147377463602,0.0073041089067148405,0.0015979030777513383,0.0010722429119499927,0.0010818450555385739,0.012232300441708376,0.001342215728921175,0.020471488252416147,0.00376101401138889,0.006517771522820455,0.008466894070900226,0.03330099067010641,0.0311987739750734,0.0626590269450911,0.008219681333542133,0.005253690951907016,0.0,0.07799808240522642,0.004031364383052439,0.021142708926948944,0.0840680507612166,0.05417031241815582,0.0019519956246302978,0.0029358770934473596,0.002106291210371705,0.018894759366012218,0.003556015506220229,0.015569756612469064,0.0017708536781822725,0.0006376931897096626,0.16042463232383627,0.16907963707156856,0.06691305258655847,1.7923943476815884e-05,0.0028396965944839513,0.008254850271242868,0.005569066961876432,0.020576806156742202,0.005830165988412843,0.10436558393820135,0.005600187501099502,0.015827750037143956,0.0290153615473397,0.005851553571521942,0.004980557287398901,0.004849394677447421,0.02354980061438501
ANTIQUE SILVER TEA GLASS ETCHED,0.05495073873448394,0.20153925180818633,0.0185602594051701,0.014311679982582391,0.13348228660545164,1.0,0.29757374332131253,0.012584133236617027,0.0031952003120193305,0.015768158093388423,0.00493774390094843,0.01378156803929642,0.06465696862131952,0.4235972875734029,0.004910924861324981,0.0006152225176527166,0.05427353673731021,0.019775800032455024,0.005147555170665996,0.006427221048288963,0.14244537369272547,0.016962551294109403,0.021421943451490247,0.005456685354809185,0.01417548024321306,0.003259847279061019,0.02514903778201305,0.19104113415847124,0.10468934257605128,0.7035075649160312,0.03789459627647782,0.012533939956398288,0.031517480716169194,0.035964485493143544,0.03491943290640831,0.014231030215227302,0.030016946283778365,0.029405207445939396,0.031123627001625218,0.011855910137020531,0.01711691816237945,0.06735420822044197,0.05932881734236857,0.04845082222833997,0.02753286688227695,0.058234398486235114,0.03824197434245105,0.0352133266926964,0.03228598011314708,0.4969839583177876,0.0003972066271951161,0.1169381855320901,0.11722823696569974,0.005279762365238624,0.004241775477505391,0.0023210853517369985,0.0014368758014305203,0.0014643237494847544,0.01925103683541367,0.0020363020996000485,0.480006923400034,0.009834704031717321,0.014443438361722395,0.020260244426882325,0.16604554772273702,0.11385496039381723,0.01528593849098485,0.2094482477088119,0.05568522424597161,0.0,0.10574259326342147,0.004917846427307104,0.016744309544985125,0.03295503365121836,0.030433167734178014,0.006234672737426246,0.015875178808423502,0.0036776420058083677,0.02546518689382874,0.01308738298425068,0.61487669542238,0.23368448475524412,5.322435029991376e-05,0.009220875346583838,0.00723180474101331,0.0442628428355864,6.845514087627424e-05,0.006257396157005821,0.023072210645074632,0.18836164636032365,0.02475953475037217,0.03214972317084917,0.1747771915621159,0.01902464133977688,0.024772650066568747,0.04216015163812765,0.25057684004378017,0.011401400034870241,0.5965035954836394,0.047827595187743516
ASSORTED COLOUR BIRD ORNAMENT,0.1561447482824889,0.12458770488105549,0.03961464614051658,0.030167973451074186,0.017826863695797005,0.29757374332131253,0.9999999999999994,0.01905246607243806,0.00814102241843176,0.006849682058183271,0.008047185326773273,0.004600743431429295,0.0017669362895158258,0.19031422972391088,0.0021041654830008657,0.000893828660415724,0.07741762679038212,0.03228178814289258,0.006189153586148789,0.0839956280750671,0.12928784444905655,0.030359352525542144,0.02722340925061636,0.0021262607024856,0.012758313229219933,0.0022842793507310746,0.03432568584222382,0.07619269413770405,0.12344055509954377,0.2491355187605225,0.0967835133404248,0.015234628977444372,0.026574337083335207,0.05666919124548189,0.017652373699136033,0.01696472793357674,0.040737424802922625,0.06112207151701086,0.06406262503272141,0.06293724777256261,0.0376877337940912,0.10535272005221252,0.06158352389089871,0.07063504598856324,0.056616825410418105,0.10876468890945412,0.08645206813600079,0.12103225506697302,0.07232740685055916,0.20216946073858316,0.00030549398455861833,0.07660078037416568,0.01721269634396138,0.01016585409572561,0.010908017519963481,0.0037363309308203006,0.004192561356057916,0.004220755596061304,0.06785446596327566,0.0042821185518090756,0.27027087238515646,0.03200597147885978,0.03861425057976468,0.06755967507384389,0.10249143782367437,0.10554874197021216,0.020683477647971866,0.12279132026350753,0.10136517453296666,0.0,0.08833165582852782,0.016108248892624355,0.8102655018287978,0.04152449538981489,0.04120370269296751,0.31970501872575574,0.17497373118397608,0.13855324881041306,0.028761401299567124,0.4316429545673549,0.27035441926254256,0.07670582971144942,0.006548813144933705,0.04367196203466953,0.04291937290461522,0.0846526215369082,6.368253713622725e-05,0.4287598966987833,0.1138572521585537,0.1484929565917052,0.025211525737995902,0.013479337397152286,0.05811830340237857,0.7091509466824313,0.016455938685984,0.09015116160416882,0.15450435838583476,0.017261888147099388,0.21840927397164722,0.1151062876943896
ASSORTED COLOURS SILK FAN,0.14567563445755832,0.07290635679821698,0.04587803671516219,0.02829894224101772,0.006399157033842636,0.012584133236617027,0.01905246607243806,1.0000000000000002,0.04158266690525141,0.06975813738645349,0.006617258805127177,3.92220784206325e-06,0.004991803077625489,0.0955206065472719,0.03167877213076624,0.04439768219329871,0.024218612766093574,0.29453301163052353,0.0028963987723161027,0.00973849808546496,0.021039046927569003,0.46832382038963144,0.00915597619556943,0.004813652403452627,0.01349096148513386,0.004115590500355489,0.00932342951821355,0.04214504515415364,0.024510085847885294,0.029340896453846604,0.010033977465367584,0.03752949190974433,0.009777252856891842,0.07282290810224254,0.03652266820281334,0.03336324502446338,0.023131803229747058,0.15804325383954332,0.06205869189348414,0.023365832262875034,0.022334577089626065,0.05095705186499964,0.0800807354420048,0.021964496800380613,0.020212941775065812,0.03226895672312695,0.036687867745797464,0.04591787238611351,0.025345943205300595,0.41627685310997253,0.0036443653497297748,0.24519160759358696,0.010327219080915665,0.004040872485951886,0.23028039330303082,0.052363286495853555,0.001315713730639712,0.08813353266436005,0.08144562817190801,0.004436988766591165,0.023696156650093645,0.007826234149502034,0.3182443101454388,0.0891313651299327,0.2458623979889421,0.1722631555643322,0.029905700652350882,0.018923637324603754,0.013594764966405784,0.0,0.05297959859133685,0.004725954546565875,0.019377533498126064,0.00897465230722404,0.017640947862768427,0.004362070103503115,0.023092802895613183,0.03484477714145239,0.02580161423773806,0.012441903544738134,0.10857732651680264,0.0050542877720120985,0.0039186494942826415,0.018344994116608802,0.014251311574494545,0.00890307532779443,0.0019049194464945043,0.006824947270617684,0.2035625003867139,0.10363538281718943,0.04198696479969894,0.023533813716369072,0.05139542533418308,0.18086672284649688,0.18930011486609039,0.02377245956738034,0.030238918508201425,0.07787732505301259,0.35362524555537916,0.016699622602174696
"ASSORTED FLOWER COLOUR ""LEIS""",0.05543411907651515,0.03532335754791883,0.12070254754385641,0.10514010087574846,0.009462916996694415,0.0031952003120193305,0.00814102241843176,0.04158266690525141,1.0,0.027122079988975333,0.002321532949763326,4.0076516108243105e-07,0.015470265093392893,0.26001553306724107,0.0007321532795247552,0.007033961729543391,0.07308632616426977,0.1332815353467527,0.0025422329206071376,0.020950668912580028,0.08646520205026122,0.016066801178091252,0.0065281945171207015,0.00047749096395051057,0.013169584073152297,0.0034873083112268166,0.026072418551147832,0.1150437303794161,0.06858452958859894,0.12579512748639404,0.08130915071358093,0.00822986521878033,0.011303503598951862,0.10115578464626648,0.08025872260609887,0.039739296331551106,0.05549236714531372,0.07964388809916156,0.07358480436777828,0.07238330552596241,0.06918407982492802,0.13846067811783055,0.2058655223768261,0.05849424652268509,0.13824624472723007,0.12757433212577218,0.18370668003063376,0.10209344036203419,0.08792866046026837,0.008334791950835824,0.0010789157870909993,0.07180869788173523,0.011608654246481205,0.025323044211194436,0.0029788766421349534,0.01121759690199782,0.007813840584469612,0.003834975106038348,0.14395011235954477,0.004951480376395071,0.05889850958224389,0.09567196243333997,0.07753707479459772,0.11780687598159961,0.13405795513152688,0.07203532606688061,0.024270511996634807,0.05908923573641543,0.039629902766149354,0.0,0.22873450892733427,0.014519989588782074,0.019927457874403202,0.06239996290069476,0.13587254488898673,0.027093838888619243,0.05685008686911139,0.0095093292074976,0.0521193070413702,0.060667840685411145,0.0715325255451054,0.00261762729960109,0.010655378597969596,0.07154978405229599,0.1251508674137659,0.07172322068277547,3.3404176937612694e-05,0.05905864520495602,0.07445762441158688,0.0792842307881216,0.08391384697429052,0.09905705886588569,0.005736111699343225,0.02527768349551549,0.06731562633584154,0.07639479233295227,0.09707140470622751,0.019874738622499468,0.01648589066721801,0.06725940403221332
ASSTD DESIGN BUBBLE GUM RING,0.028521887243645096,0.06639807060897114,0.051486702974564244,0.04588349597408391,0.021630864381879708,0.015768158093388423,0.006849682058183271,0.06975813738645349,0.027122079988975333,1.0000000000000002,0.006020773501935196,2.3389831864213678e-05,0.0024131362320975796,0.053125749285058206,0.004273061575677814,0.002941646992519232,0.052742933450694765,0.025490278345293223,0.006568338932307845,0.015301627546474537,0.0067949115835314565,0.017184007497984183,0.01153762764242147,0.0023223145888643802,0.01312974921294598,0.006635187968647317,0.01821571854937904,0.09567008790117813,0.04213359702203468,0.05817663152475484,0.016840426269504,0.005800299248096314,0.012442509356016304,0.025331689441612085,0.09447718121013901,0.046714471514983875,0.051740455556044736,0.06172038190793113,0.05234674857992876,0.04323227950675489,0.05659283896219899,0.1210087330553084,0.10048613265798219,0.047312147986551235,0.03847834907711058,0.04325510552958215,0.05584228842294987,0.04780733698768372,0.019919971556715085,0.008059678177843616,0.0003138189984699447,0.025936387864041625,0.017577679518251964,0.010999646320271108,0.012651319264797187,0.003397131567902388,0.002139164932842347,0.008274136745879655,0.050373227852405944,0.01545335161795352,0.03589731877126965,0.02256544812906696,0.025227772611306862,0.02882243666705492,0.04374406684572724,0.04001895324436627,0.0410698057977899,0.045794217444867606,0.04048749156780565,0.0,0.11666523498524178,0.0070029176225994754,0.02565350214608504,0.01789727902228971,0.03982987301061577,0.010731423355993348,0.0031157639815443863,0.005315040248341006,0.05151721242297791,0.006575835982777025,0.02929743261832137,0.00238783356714689,0.008510171328252051,0.007006803917173901,0.006873475218607218,0.007136331130023241,0.0002952790755721838,0.0108955817144645,0.026579761413322002,0.00755407321118991,0.0712040809014078,0.0611897491289881,0.02921115632892048,0.017233599868653214,0.04290204924444912,0.03865928251647264,0.012239122447388772,0.017264377545258086,0.016915188074294225,0.01418926172207971
