Customer ID,Recency,Frequency,Monetary,Cluster,Segment,AvgOrderValue
12346,326,12,77556.46,1,Regular,6463.038333333334
12347,2,8,5633.32,1,Regular,704.165
12348,75,5,2019.4,1,Regular,403.88
12349,19,4,4428.6900000000005,1,Regular,1107.1725000000001
12350,310,1,334.40000000000003,0,At Risk,334.40000000000003
12351,375,1,300.93,0,At Risk,300.93
12352,36,10,2849.84,1,Regular,284.98400000000004
12353,204,2,406.76,1,Regular,203.38
12354,232,1,1079.4,1,Regular,1079.4
12355,214,2,947.61,1,Regular,473.805
12356,23,6,6373.68,1,Regular,1062.28
12357,33,3,18287.66,1,Regular,6095.886666666666
12358,2,5,3887.07,1,Regular,777.414
12359,58,10,8935.94,1,Regular,893.594
12360,52,8,4252.89,1,Regular,531.61125
12361,287,4,511.25,0,At Risk,127.8125
12362,3,11,5356.2300000000005,1,Regular,486.93000000000006
12363,110,2,552.0,1,Regular,276.0
12364,8,4,1313.1,1,Regular,328.275
12365,291,2,641.38,0,At Risk,320.69
12366,634,1,500.24,0,At Risk,500.24
12367,4,1,168.9,1,Regular,168.9
12368,628,1,917.7,0,At Risk,917.7
12369,413,3,1791.15,0,At Risk,597.0500000000001
12370,51,7,4320.31,1,Regular,617.1871428571429
12371,45,5,4067.38,1,Regular,813.476
12372,72,3,1298.04,1,Regular,432.68
12373,311,3,1127.65,0,At Risk,375.8833333333334
12374,25,4,2989.2200000000003,1,Regular,747.3050000000001
12375,11,2,457.5,1,Regular,228.75
12376,390,2,503.15,0,At Risk,251.575
12377,315,4,3426.32,0,At Risk,856.58
12378,130,2,5416.32,1,Regular,2708.16
12379,82,4,1620.22,1,Regular,405.055
12380,22,11,9676.3,1,Regular,879.6636363636363
12381,5,5,1845.31,1,Regular,369.062
12383,185,5,1850.56,1,Regular,370.11199999999997
12384,29,2,585.27,1,Regular,292.635
12385,379,1,1938.4,0,At Risk,1938.4
12386,338,2,660.8000000000001,0,At Risk,330.40000000000003
12387,415,1,143.94,0,At Risk,143.94
12388,16,8,3901.11,1,Regular,487.63875
12389,403,3,1433.33,0,At Risk,477.77666666666664
12390,80,1,549.84,1,Regular,549.84
12391,22,6,2773.42,1,Regular,462.2366666666667
12392,591,1,234.75000000000003,0,At Risk,234.75000000000003
12393,72,6,2399.45,1,Regular,399.9083333333333
12394,64,2,1272.48,1,Regular,636.24
12395,19,15,5067.27,1,Regular,337.81800000000004
12396,674,1,931.43,0,At Risk,931.43
12397,36,2,2409.9,1,Regular,1204.95
12398,46,1,1635.66,1,Regular,1635.66
12399,119,7,1962.3,1,Regular,280.3285714285714
12400,414,1,205.25,0,At Risk,205.25
12401,303,1,84.3,0,At Risk,84.3
12402,323,6,1256.9,0,At Risk,209.48333333333335
12403,50,2,1019.36,1,Regular,509.68
12404,682,1,63.24,0,At Risk,63.24
12405,149,1,1710.39,1,Regular,1710.39
12406,22,5,6390.36,1,Regular,1278.072
12407,50,5,1708.12,1,Regular,341.62399999999997
12408,33,8,4340.77,1,Regular,542.59625
12409,79,7,23419.29,1,Regular,3345.612857142857
12410,309,3,1013.71,0,At Risk,337.90333333333336
12411,410,1,346.9,0,At Risk,346.9
12412,75,6,2596.93,1,Regular,432.82166666666666
12413,67,4,999.45,1,Regular,249.8625
12414,217,6,952.41,1,Regular,158.73499999999999
12415,24,28,144458.37,2,VIP,5159.2275
12416,657,1,202.56,0,At Risk,202.56
12417,3,20,6816.91,1,Regular,340.8455
12418,113,4,2021.2,1,Regular,505.3
12419,386,2,503.01,0,At Risk,251.505
12420,64,1,600.39,1,Regular,600.39
12421,16,6,1098.6,1,Regular,183.1
12422,96,17,5231.8,1,Regular,307.7529411764706
12423,1,10,2622.39,1,Regular,262.239
12424,163,4,3340.03,1,Regular,835.0075
12425,78,2,1741.41,1,Regular,870.705
12426,195,2,1345.21,1,Regular,672.605
12427,22,3,1129.3,1,Regular,376.43333333333334
12428,26,9,7956.46,1,Regular,884.0511111111111
12429,9,8,7485.91,1,Regular,935.73875
12430,43,1,256.4,1,Regular,256.4
12431,36,27,10857.97,1,Regular,402.147037037037
12432,43,5,5059.32,1,Regular,1011.8639999999999
12433,1,10,20581.26,1,Regular,2058.1259999999997
12434,85,3,1103.43,1,Regular,367.81
12435,80,6,13925.93,1,Regular,2320.9883333333332
12436,100,1,509.01,1,Regular,509.01
12437,2,39,12683.4,1,Regular,325.2153846153846
12438,14,2,2906.85,1,Regular,1453.425
12439,683,2,1158.18,0,At Risk,579.09
12440,462,2,859.2,0,At Risk,429.6
12441,367,1,347.1,0,At Risk,347.1
12442,3,1,172.06,1,Regular,172.06
12443,732,1,485.31,0,At Risk,485.31
12444,21,5,5005.46,1,Regular,1001.092
12445,22,2,434.98,1,Regular,217.49
12446,58,1,1002.31,1,Regular,1002.31
12447,243,1,476.49,1,Regular,476.49
12448,44,1,449.45,1,Regular,449.45
12449,22,6,4835.89,1,Regular,805.9816666666667
12450,156,5,688.2,1,Regular,137.64000000000001
12451,11,8,12669.88,1,Regular,1583.735
12452,17,2,430.5700000000001,1,Regular,215.28500000000005
12453,134,1,707.09,1,Regular,707.09
12454,56,5,16679.78,1,Regular,3335.9559999999997
12455,73,10,5879.95,1,Regular,587.995
12456,44,3,3181.04,1,Regular,1060.3466666666666
12457,66,8,2995.91,1,Regular,374.48875
12458,71,4,1777.49,1,Regular,444.3725
12459,605,1,454.36,0,At Risk,454.36
12460,456,1,326.65,0,At Risk,326.65
12461,94,2,826.88,1,Regular,413.44
12462,19,2,1189.59,1,Regular,594.795
12463,53,4,1344.78,1,Regular,336.195
12464,10,8,1212.05,1,Regular,151.50625
12465,17,2,742.19,1,Regular,371.095
12466,682,1,56.73,0,At Risk,56.73
12467,423,1,132.8,0,At Risk,132.8
12468,188,5,3670.74,1,Regular,734.1479999999999
12469,523,2,3070.54,0,At Risk,1535.27
12470,690,1,211.95,0,At Risk,211.95
12471,2,79,39963.79,2,VIP,505.8707594936709
12472,32,19,17880.59,1,Regular,941.0836842105264
12473,29,5,3938.55,1,Regular,787.71
12474,17,31,12424.45,1,Regular,400.7887096774194
12475,54,2,1149.64,1,Regular,574.82
12476,16,23,14115.41,1,Regular,613.7134782608696
12477,23,9,20276.37,1,Regular,2252.93
12478,4,1,680.99,1,Regular,680.99
12479,11,1,527.2,1,Regular,527.2
12480,28,7,5464.85,1,Regular,780.6928571428572
12481,23,15,12361.39,1,Regular,824.0926666666667
12482,576,29,23691.4,0,At Risk,816.944827586207
12483,17,19,5120.58,1,Regular,269.5042105263158
12484,33,12,6370.15,1,Regular,530.8458333333333
12485,529,1,708.1,0,At Risk,708.1
