Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,77556.46,1,Regular
12347,2,8,5633.32,1,Regular
12348,75,5,2019.3999999999999,1,Regular
12349,19,4,4428.6900000000005,1,Regular
12350,310,1,334.40000000000003,0,At Risk
12351,375,1,300.93,0,At Risk
12352,36,10,2849.84,1,Regular
12353,204,2,406.76,1,Regular
12354,232,1,1079.4,1,Regular
12355,214,2,947.61,1,Regular
12356,23,6,6373.68,1,Regular
12357,33,3,18287.66,1,Regular
12358,2,5,3887.07,1,Regular
12359,58,10,8935.94,1,Regular
12360,52,8,4252.89,1,Regular
12361,287,4,511.25,0,At Risk
12362,3,11,5356.2300000000005,1,Regular
12363,110,2,552.0,1,Regular
12364,8,4,1313.1,1,Regular
12365,291,2,641.38,0,At Risk
12366,634,1,500.24,0,At Risk
12367,4,1,168.9,1,Regular
12368,628,1,917.7,0,At Risk
12369,413,3,1791.15,0,At Risk
12370,51,7,4320.31,1,Regular
12371,45,5,4067.38,1,Regular
12372,72,3,1298.04,1,Regular
12373,311,3,1127.65,0,At Risk
12374,25,4,2989.2200000000003,1,Regular
12375,11,2,457.5,1,Regular
12376,390,2,503.15,0,At Risk
12377,315,4,3426.32,0,At Risk
12378,130,2,5416.32,1,Regular
12379,82,4,1620.22,1,Regular
12380,22,11,9676.300000000001,1,Regular
12381,5,5,1845.31,1,Regular
12383,185,5,1850.56,1,Regular
12384,29,2,585.27,1,Regular
12385,379,1,1938.4,0,At Risk
12386,338,2,660.8000000000001,0,At Risk
12387,415,1,143.94,0,At Risk
12388,16,8,3901.11,1,Regular
12389,403,3,1433.33,0,At Risk
12390,80,1,549.84,1,Regular
12391,22,6,2773.42,1,Regular
12392,591,1,234.75000000000003,0,At Risk
12393,72,6,2399.45,1,Regular
12394,64,2,1272.48,1,Regular
12395,19,15,5067.27,1,Regular
12396,674,1,931.4300000000001,0,At Risk
12397,36,2,2409.9,1,Regular
12398,46,1,1635.6599999999999,1,Regular
12399,119,7,1962.3,1,Regular
12400,414,1,205.25,0,At Risk
12401,303,1,84.3,0,At Risk
12402,323,6,1256.9,0,At Risk
12403,50,2,1019.36,1,Regular
12404,682,1,63.24,0,At Risk
12405,149,1,1710.39,1,Regular
12406,22,5,6390.36,1,Regular
12407,50,5,1708.12,1,Regular
12408,33,8,4340.77,1,Regular
12409,79,7,23419.29,1,Regular
12410,309,3,1013.71,0,At Risk
12411,410,1,346.9,0,At Risk
12412,75,6,2596.93,1,Regular
12413,67,4,999.45,1,Regular
12414,217,6,952.4100000000001,1,Regular
12415,24,28,144458.37,2,VIP
12416,657,1,202.56,0,At Risk
12417,3,20,6816.91,1,Regular
12418,113,4,2021.2,1,Regular
12419,386,2,503.01,0,At Risk
12420,64,1,600.39,1,Regular
12421,16,6,1098.6,1,Regular
12422,96,17,5231.8,1,Regular
12423,1,10,2622.39,1,Regular
12424,163,4,3340.0299999999997,1,Regular
12425,78,2,1741.41,1,Regular
12426,195,2,1345.21,1,Regular
12427,22,3,1129.3,1,Regular
12428,26,9,7956.46,1,Regular
12429,9,8,7485.91,1,Regular
12430,43,1,256.4,1,Regular
12431,36,27,10857.970000000001,1,Regular
12432,43,5,5059.32,1,Regular
12433,1,10,20581.260000000002,1,Regular
12434,85,3,1103.43,1,Regular
12435,80,6,13925.93,1,Regular
12436,100,1,509.01,1,Regular
12437,2,39,12683.4,1,Regular
12438,14,2,2906.85,1,Regular
12439,683,2,1158.18,0,At Risk
12440,462,2,859.2,0,At Risk
12441,367,1,347.1,0,At Risk
12442,3,1,172.06,1,Regular
12443,732,1,485.31,0,At Risk
12444,21,5,5005.46,1,Regular
12445,22,2,434.98,1,Regular
12446,58,1,1002.3100000000001,1,Regular
12447,243,1,476.49,1,Regular
12448,44,1,449.45,1,Regular
12449,22,6,4835.89,1,Regular
12450,156,5,688.2,1,Regular
12451,11,8,12669.88,1,Regular
12452,17,2,430.57000000000005,1,Regular
12453,134,1,707.09,1,Regular
12454,56,5,16679.78,1,Regular
12455,73,10,5879.95,1,Regular
12456,44,3,3181.04,1,Regular
12457,66,8,2995.91,1,Regular
12458,71,4,1777.49,1,Regular
12459,605,1,454.36,0,At Risk
12460,456,1,326.65,0,At Risk
12461,94,2,826.88,1,Regular
12462,19,2,1189.59,1,Regular
12463,53,4,1344.78,1,Regular
12464,10,8,1212.05,1,Regular
12465,17,2,742.19,1,Regular
12466,682,1,56.73,0,At Risk
12467,423,1,132.8,0,At Risk
12468,188,5,3670.7400000000002,1,Regular
12469,523,2,3070.54,0,At Risk
12470,690,1,211.95,0,At Risk
12471,2,79,39963.79,2,VIP
12472,32,19,17880.59,1,Regular
12473,29,5,3938.55,1,Regular
12474,17,31,12424.45,1,Regular
12475,54,2,1149.64,1,Regular
12476,16,23,14115.41,1,Regular
12477,23,9,20276.37,1,Regular
12478,4,1,680.99,1,Regular
12479,11,1,527.2,1,Regular
12480,28,7,5464.85,1,Regular
12481,23,15,12361.39,1,Regular
12482,576,29,23691.4,0,At Risk
12483,17,19,5120.58,1,Regular
12484,33,12,6370.15,1,Regular
12485,529,1,708.1,0,At Risk
12486,432,1,1037.28,0,At Risk
12487,731,1,285.3,0,At Risk
12488,10,3,1298.66,1,Regular
12489,336,1,334.93,0,At Risk
12490,5,21,9823.64,1,Regular
12491,39,1,460.40000000000003,1,Regular
12492,63,3,715.21,1,Regular
12493,166,2,433.74,1,Regular
12494,16,9,1872.8700000000001,1,Regular
12495,641,1,357.4,0,At Risk
12496,620,2,54.09,0,At Risk
12497,82,3,6248.5,1,Regular
